Country,Life_expectancy ,Alcohol, BMI ,GDP,Population,Continent
Afghanistan,58.19,0.014,15.519,340.02,9972259.813,Asia
Albania,75.16,4.849,49.069,2119.73,696911.625,Europe
Algeria,73.62,0.407,48.744,2847.85,21649827.44,Africa
Angola,49.02,5.741,18.019,1975.14,10147099.19,Europe
Antigua and Barbuda,75.06,7.949,38.425,9759.31,0,Africa
Argentina,75.16,7.967,54.981,6998.58,20121204.5,South America
Armenia,73.4,3.703,44.706,1999.99,1015164.625,Asia
Australia,81.81,10.155,55.863,34637.57,4587009.875,Oceania
Austria,81.48,12.236,48.288,33827.48,6474879.875,Europe
Azerbaijan,70.73,0.992,43.844,3302.95,2157370.5,Asia
Bahamas,74.29,10.271,52.881,0,0,North America
Bahrain,75.73,1.935,51.656,11191.25,0,Asia
Bangladesh,69.3,0.01,12.875,443.56,42985163.88,Asia
Barbados,74.36,8.207,45.975,12017.1,0,North America
Belarus,69.91,13.497,54.744,3811.53,6371866.813,Europe
Belgium,80.68,11.043,50.894,16915.31,2884042.563,Europe
Belize,69.27,6.253,37.675,3933.01,170392.875,Africa
Benin,57.57,1,19.613,561.17,3942978.938,Africa
Bhutan,66.16,0.279,17.581,1353.99,492584.9375,Asia
Bolivia (Plurinational State of),67.71,3.212,44.819,0,0,South America
Bosnia and Herzegovina,75.97,4.405,48.963,2245.03,1986993.063,Europe
Botswana,56.05,4.67,32.244,4498.29,1063867.375,Africa
Brazil,73.38,7.213,47.063,6143.16,88128071.25,South America
Brunei Darussalam,76.49,0.379,29.719,19744.81,0,Asia
Bulgaria,72.85,10.865,54.5,4938.98,5290923.938,Europe
Burkina Faso,55.64,4.241,15.5,410.37,6143694.813,Africa
Burundi,55.54,4.103,15.313,137.82,3915446.688,Africa
Côte d'Ivoire,50.39,2.837,21.325,0,0,Africa
Cabo Verde,72.52,3.448,24.375,2023.54,292600.25,Africa
Cambodia,64.34,1.486,15.363,466.2,7145967.438,Asia
Cameroon,54.02,4.141,23.619,781.02,9967291.938,Africa
