Country,Life expectancy ,Alcohol, BMI ,GDP,Population
Afghanistan,58.19,0.014,15.519,340.02,9972259.813
Albania,75.16,4.849,49.069,2119.73,696911.625
Algeria,73.62,0.407,48.744,2847.85,21649827.44
Angola,49.02,5.741,18.019,1975.14,10147099.19
Antigua and Barbuda,75.06,7.949,38.425,9759.31,0
Argentina,75.16,7.967,54.981,6998.58,20121204.5
Armenia,73.40,3.703,44.706,1999.99,1015164.625
Australia,81.81,10.155,55.863,34637.57,4587009.875
Austria,81.48,12.236,48.288,33827.48,6474879.875
Azerbaijan,70.73,0.992,43.844,3302.95,2157370.5
Bahamas,74.29,10.271,52.881,0.00,0
Bahrain,75.73,1.935,51.656,11191.25,0
Bangladesh,69.30,0.010,12.875,443.56,42985163.88
Barbados,74.36,8.207,45.975,12017.10,0
Belarus,69.91,13.497,54.744,3811.53,6371866.813
Belgium,80.68,11.043,50.894,16915.31,2884042.563
Belize,69.27,6.253,37.675,3933.01,170392.875
Benin,57.57,1.000,19.613,561.17,3942978.938
Bhutan,66.16,0.279,17.581,1353.99,492584.9375
Bolivia (Plurinational State of),67.71,3.212,44.819,0.00,0
Bosnia and Herzegovina,75.97,4.405,48.963,2245.03,1986993.063
Botswana,56.05,4.670,32.244,4498.29,1063867.375
Brazil,73.38,7.213,47.063,6143.16,88128071.25
Brunei Darussalam,76.49,0.379,29.719,19744.81,0
Bulgaria,72.85,10.865,54.500,4938.98,5290923.938
Burkina Faso,55.64,4.241,15.500,410.37,6143694.813
Burundi,55.54,4.103,15.313,137.82,3915446.688
Côte d'Ivoire,50.39,2.837,21.325,0.00,0
Cabo Verde,72.52,3.448,24.375,2023.54,292600.25
Cambodia,64.34,1.486,15.363,466.20,7145967.438
Cameroon,54.02,4.141,23.619,781.02,9967291.938
Canada,81.69,8.053,55.863,29382.91,11364053.81
Central African Republic,48.51,1.231,17.088,363.06,2016546.125
Chad,50.39,0.411,16.319,484.79,4114092.063
Chile,79.45,6.978,55.588,6202.34,14671763.94
China,74.26,4.182,21.806,2345.30,321812.0625
Colombia,73.29,4.419,49.544,3321.66,31767432.63
Comoros,61.58,0.135,18.256,630.38,532200.6875
Congo,59.04,2.173,20.925,0.00,0
Cook Islands,,0.010,82.800,0.00,0
Costa Rica,78.59,3.925,46.725,3957.23,2309299.438
Croatia,76.12,12.448,52.356,9056.78,1159772.375
Cuba,77.98,4.191,49.463,3180.43,
Cyprus,79.68,10.261,53.163,13898.89,390274.375
Czechia,76.77,13.026,55.713,0.00,0
Democratic People's Republic of Korea,69.19,3.000,25.625,0.00,0
Democratic Republic of the Congo,55.69,1.424,15.838,0.00,0
Denmark,79.26,10.708,55.825,33067.41,4260081.375
Djibouti,60.76,0.764,26.250,898.00,634116.1875
Dominica,,0.010,58.400,722.76,0
Dominican Republic,72.34,6.031,48.144,3509.50,4448642.688
Ecuador,74.73,3.807,43.313,2005.35,8710592.063
Egypt,71.50,0.189,49.263,0.00,0
El Salvador,71.74,2.693,45.325,2517.83,2930826.5
Equatorial Guinea,55.31,7.342,17.856,7902.41,556765.3125
Eritrea,60.69,0.608,15.156,259.40,2071919.333
Estonia,74.94,9.015,56.681,8340.43,791848.6875
Ethiopia,59.11,1.075,14.800,264.97,43950760.75
Fiji,68.71,1.463,50.563,2947.61,650205.125
Finland,80.71,9.553,52.300,25268.65,3493082.313
France,82.22,12.405,51.981,26465.55,27581733.13
Gabon,62.24,7.877,28.819,5179.26,1007302.313
Gambia,59.46,2.135,20.300,0.00,0
Georgia,73.51,5.623,47.744,2158.28,10152.375
Germany,81.18,11.629,51.994,24337.75,38757347.44
Ghana,60.86,1.269,21.725,834.38,11534782.63
Greece,81.22,8.803,58.681,16454.24,1550208.438
Grenada,73.29,8.843,40.213,6259.52,
Guatemala,71.73,2.269,40.444,2365.83,5933907.5
Guinea,56.01,0.165,17.469,279.46,4252798.938
